,inspection_no,dba_name,aka_name,license_no,facility_type,risk,address,city,state,zip,inspection_date,inspection_type,results,violations,latitude,longitude,location,rating,business_status
0,2321197,CHICAGO' S DOG HOUSE INC.,CHICAGO' S DOG HOUSE,1969388.0,Restaurant,Risk 1 (High),816 W FULLERTON AVE ,CHICAGO,IL,60614.0,11/06/2019,Canvass,Pass,"37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: MUST LABEL FOOD STORAGE CONTAINERS WITH COMMON FOOD NAMES; POTATOES, FLOUR, SUGAR, ETC., WHEN FOOD HAS BEEN REMOVED FROM ORIGINAL PACKAGING. INSTRUCTED TO MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: MUST DETAIL CLEAN DUST ACCUMULATION FROM CEILING VENTS THROUGHOUT PREMISES. INSTRUCTED TO MAINTAIN.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: MUST DETAIL CLEAN DUST AND DEBRIS FROM FLOORS IN PREP, TOILET ROOM, AND MOP CLOSET, INSTRUCTED TO MAINTAIN.  | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: MUST CLAN GREASE ACCUMULATION FROM HOOD FILTERS, INSTRUCTED TO MAINTAIN. ",41.92555423106173,-87.64943870806178,"(-87.64943870806178, 41.92555423106173)",4.6,OPERATIONAL
1,2230027,CHICAGO' S DOG HOUSE INC.,CHICAGO' S DOG HOUSE,1969388.0,Restaurant,Risk 1 (High),816 W FULLERTON AVE ,CHICAGO,IL,60614.0,10/22/2018,Canvass,Pass w/ Conditions,"3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: 2-102.14(N) THE PERSON IN CHARGE UNABLE TO PROVIDE HEALTH EMPLOYEE POLICY. INSTRUCTED TO PROVIDE A HEALTH EMPLOYEE POLICY. PRIORITY FOUNDATION VIOLATION 7-38-010. NO CITATION ISSUED. | 5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: 2-501.11 THE PERSON IN CHARGE UNABLE TO PROVIDE PROCEDURE FOR EMPLOYEE TO FOLLOW WHEN RESPONDING TO VOMITING AND DIARRHEAL EVENTS.INSTRUCTED TO PROVIDE AND MAINTAIN PRIORITY FOUNDATION VIOLATION 7-38-012. | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: 6-301.14 OBSERVED NO HAND WASHING SIGNS OR POSTERS NEAR THE HAND WASHING SINK IN FOOD PREPARATION AREA. MUST PROVIDE AND MAINTAIN. | 25. CONSUMER ADVISORY PROVIDED FOR RAW/UNDERCOOKED FOOD - Comments: 3-603.11 MENU DOES NOT DISCLOSED AND INFORM CONSUMERS TO SPECIFIC MENU ITEMS THAT ARE UNDERCOOKED AND POTENTIAL HAZARD OF CONSUMING SUCH FOODS (HAMBURGER) PRIORITY FOUNDATION VIOLATION 7-38005. NO CITATION ISSUED. | 41. WIPING CLOTHS: PROPERLY USED & STORED - Comments: 3-304.14 OBSERVED WIPING CLOTHS STORED ON TOP OF PREP SINK. MUST PROPERLY STORE WIPING CLOTHS IN A SANITIZING SOLUTION WHEN NOT IN USE. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: 5-204.12 BACKFLOW PREVENTOR NOT LOCATED AT THE SERVICE SINK INSTRUCTED TO INSTALL SO THAT CAN BE LOCATED TO BE SERVICED AND MAINTAINED.",41.92555423106173,-87.64943870806178,"(-87.64943870806178, 41.92555423106173)",4.6,OPERATIONAL
2,2117088,CHICAGO' S DOG HOUSE INC.,CHICAGO' S DOG HOUSE,1969388.0,Restaurant,Risk 1 (High),816 W FULLERTON AVE ,CHICAGO,IL,60614.0,12/12/2017,Canvass Re-Inspection,Pass,"32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: MUST REMOVE TAPE AND REPAIR SIDE OF FRONT SERVICE COUNTER WHERE CASH REGISTER IS LOCATED. TAPE IS PROHIBITED.   ",41.92555423106173,-87.64943870806178,"(-87.64943870806178, 41.92555423106173)",4.6,OPERATIONAL
3,2116668,CHICAGO' S DOG HOUSE INC.,CHICAGO' S DOG HOUSE,1969388.0,Restaurant,Risk 1 (High),816 W FULLERTON AVE ,CHICAGO,IL,60614.0,12/05/2017,Canvass,Fail,"29. PREVIOUS MINOR VIOLATION(S) CORRECTED 7-42-090 - Comments: PREVIOUS MINOR VIOLATIONS NOT CORRECTED FROM INSPECTION REPORT 2009364, DATED 4/4/17. VIOLATIONS INCLUDE; #32; REPAIR DOOR GASKET ON THE PREP COOLER BEHIND THE FRONT COUNTER. REPAIR TORN SEAT COVERS IN THE DINING AREA. INSTRUCTED TO MAINTAIN ALL.   #38; REPAIR LEAKY FAUCET AT THE 1-COMP SINK ON THE WEST WALL.  SERIOUS VIOLATION 7-42-090. | 30. FOOD IN ORIGINAL CONTAINER, PROPERLY LABELED: CUSTOMER ADVISORY POSTED AS NEEDED - Comments: MUST LABEL FOOD CONTAINERS WHEN FOOD HAS BEEN REMOVE FROM ORIGINAL PACKAGING.  | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: MUST REMOVE TAPE AND REPAIR  SIDE OF FRONT SERVICE COUNTER WHERE CASH REGISTER IS LOCATED. TAPE IS PROHIBITED.  | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: MUST DETAIL CLEAN DRIED FOOD DEBRIS FROM STOVE, GRILL, AND FRYER IN PREP AREA.  | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: MUST DETAIL CLEAN DEBRIS FROM FLOORS UNDER HEAVY EQUIPMENT IN PREP AREA A ND TOILET ROOM. ",41.92555423106173,-87.64943870806178,"(-87.64943870806178, 41.92555423106173)",4.6,OPERATIONAL
4,635191,BYRONS KITCHENS,BYRONS KITCHENS,3596.0,Restaurant,Risk 1 (High),1017 W IRVING PARK RD ,CHICAGO,IL,60613.0,11/03/2011,Tag Removal,Pass w/ Conditions,"35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: NEED TO REMOVE PEELING PAINT AND GREASE FROM VENTILATION FOR AIR CONDITIONING AND HEAT.ALSO MUST PROVIDE A CEILING FOR ABOVE THE WALK-IN FREEZER.NEED TO CLEAN AND REPAINT WALL UNDER THE PREP TABLE NEXT TO HOT WATER HEATER.  ",41.95436836115346,-87.65522418220391,"(-87.65522418220391, 41.95436836115346)",4.5,OPERATIONAL
5,635172,BYRONS KITCHENS,BYRONS KITCHENS,3596.0,Restaurant,Risk 1 (High),1017 W IRVING PARK RD ,CHICAGO,IL,60613.0,11/02/2011,Complaint,Pass w/ Conditions,"4. SOURCE OF CROSS CONTAMINATION CONTROLLED I.E. CUTTING BOARDS, FOOD  HANDLERS, UTENSILS, ETC - Comments: All food shall be protected from contamination and the elements, and so shall all food equipment, containers, utensils, food contact surfaces and devices, and vehicles.  SOURCE OF CONTAMINATION :OBSERVED INTERIOR OF ICE MACHINE WATER RESERVOIR WITH BLACK SLIME SUBSTANCE DRIPPING INTO WATER RESERVOIR WHERE ICE IS MADE.ALSO NEED TO CLEAN AND SANITIZE ICE DISPENSER  FROM POP DISPENSER UNIT.TAGGED ICE MACHINE'HELD FOR INSPECTION' DO NOT USE ICE, ONLY POP.RECOMMENDED FOR A TECHNICIAN TO CLEAN UNIT.BUY ICE IN BAGS FROM A RETAIL FOOD LICENSE AND KEEP AN INVOICE ON PREMISES.CRITICAL VIOLATION:7-38-005(a) HOOOO75226-15 | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: The walls and ceilings shall be in good repair and easily cleaned.NEED TO REMOVE PEELING PAINT AND GREASE FROM VENTILATION FOR AIR CONDITIONING AND HEAT.ALSO MUST PROVIDE A CEILING FOR ABOVE THE WALK-IN FREEZER.NEED TO CLEAN AND REPAINT WALL UNDER THE PREP TABLE NEXT TO HOT WATER HEATER.",41.95436836115346,-87.65522418220391,"(-87.65522418220391, 41.95436836115346)",4.5,OPERATIONAL
6,1385684,JIMMY'S SANDWICH SHOP,JIMMY'S SANDWICH SHOP,6294.0,Restaurant,Risk 2 (Medium),4000 W GRAND AVE ,CHICAGO,IL,60651.0,10/10/2014,Canvass Re-Inspection,Pass,,41.90625887086,-87.72635347636164,"(-87.72635347636164, 41.90625887086)",4.6,OPERATIONAL
7,1385663,JIMMY'S SANDWICH SHOP,JIMMY'S SANDWICH SHOP,6294.0,Restaurant,Risk 2 (Medium),4000 W GRAND AVE ,CHICAGO,IL,60651.0,10/01/2014,Canvass,Fail,"18. NO EVIDENCE OF RODENT OR INSECT OUTER OPENINGS PROTECTED/RODENT PROOFED, A WRITTEN LOG SHALL BE MAINTAINED AVAILABLE TO THE INSPECTORS - Comments: OBSERVED EVIDENCE OF MORE THAN 50 LIVE SMALL FLIES ON BOXES,WALLS,CEILINGS,IN POTATOE PEELER,ON BAGS OF ONIONS AND FLYING AROUND PREMISES.ALSO NORTH DOOR NOT TIGHT FITTING.MUST RODENT PROOF DOORS.RECOMMENDED TO HAVE A PEST CONTROL OPERATOR TO SERVICE PREMISES ON OR AFTER 10/1/14.(SERIOUS 7-38-020). | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: MUST APPLY A SEALANT OR PAINT RAW WOOD OVER HEAD CABINET.MUST REMOVE RUST FROM SHELVING UNIT IN WALK IN COOLER,FOIL FROM PIPES NEAR 3- COMPARTMENT SINK. | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: MUST CLEAN FRYERS,POTATOE PEELER. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: MUST REPAIR OR REPLACE BROKEN,DAMAGED AND MISSING FLOOR TILES THROUGHOUT PREMISES.MUST GROUT FLOORS IN SAME AREAS.MUST REMOVE WATER FROM FLOOR AND KEEP DRY.MUST CLEAN GREASE AND FOOD DEBRI BUILD UP ON FLOOR MATS. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: MUST REPAIR OR REPLACE DAMAGED,MISSING WALL BASES THROUGHOUT,LOOSE CEILING AND WALL PANEL IN WALK IN COOLER,STAINED AND DAMAGED CEILING TILES THROUGHOUTMUST SEAL ALL OPENINGS AROUND PIPES AND WIRES LEADING INTO WALLS AND CEILINGS.MUST CLEAN DUST BUILD UP FROM CEILING TILES,LIGHT SHIELDS AND EXHAUST FANS. | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: MUST REMOVE ARTICLES FROM ON TOP OF ICE MACHINE.",41.90625887086,-87.72635347636164,"(-87.72635347636164, 41.90625887086)",4.6,OPERATIONAL
8,635165,JIMMY'S SANDWICH SHOP,JIMMY'S SANDWICH SHOP,6294.0,Restaurant,Risk 2 (Medium),4000 W GRAND AVE ,CHICAGO,IL,60651.0,11/02/2011,Short Form Complaint,Pass,"34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: Floor along wallbase and behind equipment not cleaned. Instructed to detail clean daily and remove food debris. Side door door worn at bottom of door sweep. Instructed to repair to prevent daylight at bottom.   | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: Ventilation covers thru-out not cleaned. Instructed to detail clean.   | 40. REFRIGERATION AND METAL STEM THERMOMETERS PROVIDED AND CONSPICUOUS - Comments: Thermometer not visible inside coolers. Instructed to have thermometer conspicuous inside coolers.  ",41.90625887086,-87.72635347636164,"(-87.72635347636164, 41.90625887086)",4.6,OPERATIONAL
9,2453936,JACKYS HOT DOGS,JACKYS HOT DOGS,3775.0,Restaurant,Risk 1 (High),5415 S PULASKI RD ,CHICAGO,IL,60632.0,10/28/2020,Canvass,Pass,"39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: STOCK ON FLOOR IN WALK IN COOLER AND FREEZER. INSTD TO ELEVATE 6 INCHES. | 41. WIPING CLOTHS: PROPERLY USED & STORED - Comments: WIPING CLOTHS IMPROPERLY STORED. INSTD TO STORE IN SANITIZING SOLUTION AT ALL TIMES WHEN NOT IN USE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: WALLBASE IN POOR REPAIR NEXT TO BEVERAGE SYRUP LINES STORAGE AREA. INSTD TO REPAIR AND MAINTAIN",41.794560965932575,-87.72305196106626,"(-87.72305196106626, 41.794560965932575)",4.7,OPERATIONAL
